Task,Group,Start,End
Task 1,Sprint Backlog,22-nov-22,01-Apr-2023
Task 2,Sprint Backlog,22-nov-22,01-Apr-2023
Task 3,Sprint Backlog,22-nov-22,01-Apr-2023
Task 4,Sprint Backlog,30-nov-22,06-Dec-2022
Task 5,Sprint Backlog,30-nov-22,08-Dec-2022
Task 6,Sprint Backlog,24-Dec-2022,24-Dec-2022
Task 7,Sprint Backlog,24-Dec-2022,30-Dec-2022
Task 8,Sprint Backlog,24-Dec-2022,30-Dec-2022
Task 9,Sprint Backlog,24-Dec-2022,19-Jan-2023
Task 10,Sprint Backlog,31-Dec-2022,14-Jan-2023
Task 11,Sprint Backlog,14-Jan-2023,19-Jan-2023
Task 12,Sprint Backlog,14-Jan-2023,21-Jan-2023
Task 13,Sprint Backlog,14-Jan-2023,17-Jan-2023
Task 14,Sprint Backlog,14-Jan-2023,19-Jan-2023
Task 15,Sprint Backlog,14-Jan-2023,20-Jan-2023
Task 16,Sprint Backlog,14-Jan-2023,27-Jan-2023
Task 17,Sprint Backlog,14-Jan-2023,24-mar-23
Task 18,Sprint Backlog,21-Jan-2023,27-Jan-2023
Task 19,Sprint Backlog,21-Jan-2023,27-Jan-2023
Task 20,Sprint Backlog,21-Jan-2023,28-Jan-2023
Task 21,Sprint Backlog,21-Jan-2023,31-Jan-2023
Task 22,Sprint Backlog,24-Jan-2023,25-mar-23
Task 23,Sprint Backlog,28-Jan-2023,31-Jan-2023
Task 24,Sprint Backlog,28-Jan-2023,1-feb-23
Task 25,Sprint Backlog,28-Jan-2023,3-feb-23
Task 26,Sprint Backlog,28-Jan-2023,2-feb-23
Task 27,Sprint Backlog,28-Jan-2023,3-feb-23
Task 28,Sprint Backlog,28-Jan-2023,3-feb-23
Task 29,Sprint Backlog,28-Jan-2023,17-mar-23
Task 30,Sprint Backlog,30-Jan-2023,30-Jan-2023
Task 31,Sprint Backlog,10-feb-23,18-feb-23
Task 32,Sprint Backlog,13-feb-23,19-feb-23
Task 33,Sprint Backlog,20-feb-23,25-feb-23
Task 34,Sprint Backlog,25-feb-23,4-mar-23
Task 35,Sprint Backlog,3-mar-23,4-mar-23
Task 36,Sprint Backlog,4-mar-23,18-mar-23
Task 37,Sprint Backlog,4-mar-23,11-mar-23
Task 38,Sprint Backlog,4-mar-23,11-mar-23
Task 39,Sprint Backlog,4-mar-23,11-mar-23
Task 40,Sprint Backlog,4-mar-23,24-mar-23
Task 41,Sprint Backlog,11-mar-23,17-mar-23
Task 42,Sprint Backlog,11-mar-23,17-mar-23
Task 43,Sprint Backlog,11-mar-23,17-mar-23
Task 44,Sprint Backlog,11-mar-23,17-mar-23
Task 45,Sprint Backlog,16-mar-23,17-mar-23
Task 46,Sprint Backlog,16-mar-23,17-mar-23
Task 47,Sprint Backlog,17-mar-23,25-mar-23
Task 48,Sprint Backlog,17-mar-23,24-mar-23
Task 49,Sprint Backlog,18-mar-23,24-mar-23
Task 50,Unnable to Release,08-Dec-2022,24-Dec-2022
Task 51,Unnable to Release,24-Dec-2022,07-Jan-2023
Task 52,Unnable to Release,14-Jan-2023,19-Jan-2023
Task 53,Unnable to Release,14-Jan-2023,19-Jan-2023
Task 54,Unnable to Release,14-Jan-2023,19-Jan-2023
Task 55,Unnable to Release,14-Jan-2023,27-Jan-2023
Task 56,Unnable to Release,14-Jan-2023,27-Jan-2023
Task 57,Unnable to Release,17-Jan-2023,20-Jan-2023
Task 58,Unnable to Release,21-Jan-2023,23-Jan-2023
Task 59,Unnable to Release,21-Jan-2023,27-Jan-2023
Task 60,Unnable to Release,21-Jan-2023,27-Jan-2023
Task 61,Unnable to Release,24-Jan-2023,27-Jan-2023
Task 62,Unnable to Release,24-Jan-2023,25-feb-23
Task 63,Unnable to Release,28-Jan-2023,14-feb-23
Task 64,Unnable to Release,10-feb-23,25-feb-23
Task 65,Unnable to Release,4-mar-23,11-mar-23
